host,hostname,hostname_type,protocol,port,name,state,product,extrainfo,reason,version,conf,cpe
192.168.123.100,,,tcp,22,ssh,closed,,,conn-refused,,3,
192.168.123.100,,,tcp,80,http,closed,,,conn-refused,,3,
192.168.123.100,,,tcp,443,https,closed,,,conn-refused,,3,
192.168.123.100,,,tcp,3000,ppp,closed,,,conn-refused,,3,
192.168.123.100,,,tcp,3001,nessus,closed,,,conn-refused,,3,
192.168.123.100,,,tcp,8088,radan-http,closed,,,conn-refused,,3,
192.168.123.100,,,tcp,8877,unknown,closed,,,conn-refused,,3,
192.168.123.100,,,tcp,30000,ndmps,closed,,,conn-refused,,3,
192.168.123.101,,,tcp,22,ssh,closed,,,conn-refused,,3,
192.168.123.101,,,tcp,80,http,closed,,,conn-refused,,3,
192.168.123.101,,,tcp,443,https,closed,,,conn-refused,,3,
192.168.123.101,,,tcp,3000,ppp,open,,,syn-ack,,3,
192.168.123.101,,,tcp,3001,nessus,open,,,syn-ack,,3,
192.168.123.101,,,tcp,8088,radan-http,closed,,,conn-refused,,3,
192.168.123.101,,,tcp,8877,unknown,closed,,,conn-refused,,3,
192.168.123.101,,,tcp,30000,ndmps,closed,,,conn-refused,,3,
192.168.123.102,,,tcp,22,ssh,closed,,,conn-refused,,3,
192.168.123.102,,,tcp,80,http,closed,,,conn-refused,,3,
192.168.123.102,,,tcp,443,https,closed,,,conn-refused,,3,
192.168.123.102,,,tcp,3000,ppp,closed,,,conn-refused,,3,
192.168.123.102,,,tcp,3001,nessus,closed,,,conn-refused,,3,
192.168.123.102,,,tcp,8088,radan-http,closed,,,conn-refused,,3,
192.168.123.102,,,tcp,8877,unknown,closed,,,conn-refused,,3,
192.168.123.102,,,tcp,30000,ndmps,closed,,,conn-refused,,3,
192.168.123.112,,,tcp,22,ssh,closed,,,conn-refused,,3,
192.168.123.112,,,tcp,80,http,open,,,syn-ack,,3,
192.168.123.112,,,tcp,443,https,open,,,syn-ack,,3,
192.168.123.112,,,tcp,3000,ppp,closed,,,conn-refused,,3,
192.168.123.112,,,tcp,3001,nessus,closed,,,conn-refused,,3,
192.168.123.112,,,tcp,8088,radan-http,closed,,,conn-refused,,3,
192.168.123.112,,,tcp,8877,unknown,closed,,,conn-refused,,3,
192.168.123.112,,,tcp,30000,ndmps,closed,,,conn-refused,,3,
192.168.123.116,,,tcp,22,ssh,closed,,,conn-refused,,3,
192.168.123.116,,,tcp,80,http,closed,,,conn-refused,,3,
192.168.123.116,,,tcp,443,https,closed,,,conn-refused,,3,
192.168.123.116,,,tcp,3000,ppp,closed,,,conn-refused,,3,
192.168.123.116,,,tcp,3001,nessus,closed,,,conn-refused,,3,
192.168.123.116,,,tcp,8088,radan-http,closed,,,conn-refused,,3,
192.168.123.116,,,tcp,8877,unknown,closed,,,conn-refused,,3,
192.168.123.116,,,tcp,30000,ndmps,closed,,,conn-refused,,3,
192.168.123.120,,,tcp,22,ssh,closed,,,conn-refused,,3,
192.168.123.120,,,tcp,80,http,open,,,syn-ack,,3,
192.168.123.120,,,tcp,443,https,open,,,syn-ack,,3,
192.168.123.120,,,tcp,3000,ppp,closed,,,conn-refused,,3,
192.168.123.120,,,tcp,3001,nessus,closed,,,conn-refused,,3,
192.168.123.120,,,tcp,8088,radan-http,closed,,,conn-refused,,3,
192.168.123.120,,,tcp,8877,unknown,closed,,,conn-refused,,3,
192.168.123.120,,,tcp,30000,ndmps,closed,,,conn-refused,,3,
192.168.123.123,,,tcp,22,ssh,closed,,,conn-refused,,3,
192.168.123.123,,,tcp,80,http,filtered,,,no-response,,3,
192.168.123.123,,,tcp,443,https,closed,,,conn-refused,,3,
192.168.123.123,,,tcp,3000,ppp,closed,,,conn-refused,,3,
192.168.123.123,,,tcp,3001,nessus,closed,,,conn-refused,,3,
192.168.123.123,,,tcp,8088,radan-http,closed,,,conn-refused,,3,
192.168.123.123,,,tcp,8877,unknown,open,,,syn-ack,,3,
192.168.123.123,,,tcp,30000,ndmps,closed,,,conn-refused,,3,
192.168.123.125,,,tcp,22,ssh,filtered,,,no-response,,3,
192.168.123.125,,,tcp,80,http,open,,,syn-ack,,3,
192.168.123.125,,,tcp,443,https,filtered,,,no-response,,3,
192.168.123.125,,,tcp,3000,ppp,filtered,,,no-response,,3,
192.168.123.125,,,tcp,3001,nessus,filtered,,,no-response,,3,
192.168.123.125,,,tcp,8088,radan-http,filtered,,,no-response,,3,
192.168.123.125,,,tcp,8877,unknown,filtered,,,no-response,,3,
192.168.123.125,,,tcp,30000,ndmps,filtered,,,no-response,,3,
192.168.0.1,,,tcp,80,http,open,,,syn-ack,,3,
